prompt_template,slice,num_examples,accuracy
balanced_reasoning_prompt,mixed_risk,54,0.6667
clinical_cautious_prompt,mixed_risk,54,0.0
short_label_prompt,mixed_risk,54,0.3333
balanced_reasoning_prompt,negative_clear,78,1.0
clinical_cautious_prompt,negative_clear,78,0.2308
short_label_prompt,negative_clear,78,1.0
balanced_reasoning_prompt,neutral_method,37,1.0
clinical_cautious_prompt,neutral_method,37,1.0
short_label_prompt,neutral_method,37,1.0
balanced_reasoning_prompt,positive_clear,78,1.0
clinical_cautious_prompt,positive_clear,78,0.0
short_label_prompt,positive_clear,78,1.0
