text,label,slice
"The model is fast, stable, and useful for edge deployment.",positive,positive_clear
"The model is fast, stable, and useful for medical triage.",positive,positive_clear
"The model is fast, stable, and useful for scientific retrieval.",positive,positive_clear
"The agent is fast, stable, and useful for edge deployment.",positive,positive_clear
"The agent is fast, stable, and useful for medical triage.",positive,positive_clear
"The agent is fast, stable, and useful for scientific retrieval.",positive,positive_clear
"The detector is fast, stable, and useful for edge deployment.",positive,positive_clear
"The detector is fast, stable, and useful for medical triage.",positive,positive_clear
"The detector is fast, stable, and useful for scientific retrieval.",positive,positive_clear
"The retriever is fast, stable, and useful for edge deployment.",positive,positive_clear
"The retriever is fast, stable, and useful for medical triage.",positive,positive_clear
"The retriever is fast, stable, and useful for scientific retrieval.",positive,positive_clear
"The pipeline is fast, stable, and useful for edge deployment.",positive,positive_clear
"The pipeline is fast, stable, and useful for medical triage.",positive,positive_clear
"The pipeline is fast, stable, and useful for scientific retrieval.",positive,positive_clear
"The dashboard is fast, stable, and useful for edge deployment.",positive,positive_clear
"The dashboard is fast, stable, and useful for medical triage.",positive,positive_clear
"The dashboard is fast, stable, and useful for scientific retrieval.",positive,positive_clear
The model improved latency without increasing latency.,positive,positive_clear
The model improved macro F1 without increasing latency.,positive,positive_clear
The model improved calibration without increasing latency.,positive,positive_clear
The agent improved retrieval precision without increasing latency.,positive,positive_clear
The agent improved accuracy without increasing latency.,positive,positive_clear
The agent improved recall without increasing latency.,positive,positive_clear
The detector improved latency without increasing latency.,positive,positive_clear
The detector improved macro F1 without increasing latency.,positive,positive_clear
The detector improved calibration without increasing latency.,positive,positive_clear
The retriever improved retrieval precision without increasing latency.,positive,positive_clear
The retriever improved accuracy without increasing latency.,positive,positive_clear
The retriever improved recall without increasing latency.,positive,positive_clear
The pipeline improved latency without increasing latency.,positive,positive_clear
The pipeline improved macro F1 without increasing latency.,positive,positive_clear
The pipeline improved calibration without increasing latency.,positive,positive_clear
The dashboard improved retrieval precision without increasing latency.,positive,positive_clear
The dashboard improved accuracy without increasing latency.,positive,positive_clear
The dashboard improved recall without increasing latency.,positive,positive_clear
The model gave correct answers and clear explanations for edge deployment.,positive,positive_clear
The model gave correct answers and clear explanations for medical triage.,positive,positive_clear
The model gave correct answers and clear explanations for scientific retrieval.,positive,positive_clear
The agent gave correct answers and clear explanations for edge deployment.,positive,positive_clear
The agent gave correct answers and clear explanations for medical triage.,positive,positive_clear
The agent gave correct answers and clear explanations for scientific retrieval.,positive,positive_clear
The detector gave correct answers and clear explanations for edge deployment.,positive,positive_clear
The detector gave correct answers and clear explanations for medical triage.,positive,positive_clear
The detector gave correct answers and clear explanations for scientific retrieval.,positive,positive_clear
The retriever gave correct answers and clear explanations for edge deployment.,positive,positive_clear
The retriever gave correct answers and clear explanations for medical triage.,positive,positive_clear
The retriever gave correct answers and clear explanations for scientific retrieval.,positive,positive_clear
The pipeline gave correct answers and clear explanations for edge deployment.,positive,positive_clear
The pipeline gave correct answers and clear explanations for medical triage.,positive,positive_clear
The pipeline gave correct answers and clear explanations for scientific retrieval.,positive,positive_clear
The dashboard gave correct answers and clear explanations for edge deployment.,positive,positive_clear
The dashboard gave correct answers and clear explanations for medical triage.,positive,positive_clear
The dashboard gave correct answers and clear explanations for scientific retrieval.,positive,positive_clear
The model solved the problem and saved time during edge deployment.,positive,positive_clear
The model solved the problem and saved time during medical triage.,positive,positive_clear
The model solved the problem and saved time during scientific retrieval.,positive,positive_clear
The agent solved the problem and saved time during edge deployment.,positive,positive_clear
The agent solved the problem and saved time during medical triage.,positive,positive_clear
The agent solved the problem and saved time during scientific retrieval.,positive,positive_clear
The detector solved the problem and saved time during edge deployment.,positive,positive_clear
The detector solved the problem and saved time during medical triage.,positive,positive_clear
The detector solved the problem and saved time during scientific retrieval.,positive,positive_clear
The retriever solved the problem and saved time during edge deployment.,positive,positive_clear
The retriever solved the problem and saved time during medical triage.,positive,positive_clear
The retriever solved the problem and saved time during scientific retrieval.,positive,positive_clear
The pipeline solved the problem and saved time during edge deployment.,positive,positive_clear
The pipeline solved the problem and saved time during medical triage.,positive,positive_clear
The pipeline solved the problem and saved time during scientific retrieval.,positive,positive_clear
The dashboard solved the problem and saved time during edge deployment.,positive,positive_clear
The dashboard solved the problem and saved time during medical triage.,positive,positive_clear
The dashboard solved the problem and saved time during scientific retrieval.,positive,positive_clear
