prompt_template,text,slice,true_label,predicted_label,correct,rationale
short_label_prompt,The model is accurate on easy cases but unsafe on hard cases.,mixed_risk,negative,positive,False,"more positive evidence; positive=['accurate', 'easy']; negative=['unsafe']"
short_label_prompt,The agent is accurate on easy cases but unsafe on hard cases.,mixed_risk,negative,positive,False,"more positive evidence; positive=['accurate', 'easy']; negative=['unsafe']"
short_label_prompt,The detector is accurate on easy cases but unsafe on hard cases.,mixed_risk,negative,positive,False,"more positive evidence; positive=['accurate', 'easy']; negative=['unsafe']"
short_label_prompt,The retriever is accurate on easy cases but unsafe on hard cases.,mixed_risk,negative,positive,False,"more positive evidence; positive=['accurate', 'easy']; negative=['unsafe']"
short_label_prompt,The pipeline is accurate on easy cases but unsafe on hard cases.,mixed_risk,negative,positive,False,"more positive evidence; positive=['accurate', 'easy']; negative=['unsafe']"
short_label_prompt,The dashboard is accurate on easy cases but unsafe on hard cases.,mixed_risk,negative,positive,False,"more positive evidence; positive=['accurate', 'easy']; negative=['unsafe']"
short_label_prompt,"The model improves latency, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The model improves macro F1, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The model improves calibration, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The agent improves retrieval precision, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The agent improves accuracy, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The agent improves recall, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The detector improves latency, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The detector improves macro F1, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The detector improves calibration, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The retriever improves retrieval precision, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The retriever improves accuracy, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The retriever improves recall, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The pipeline improves latency, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The pipeline improves macro F1, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The pipeline improves calibration, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The dashboard improves retrieval precision, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The dashboard improves accuracy, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,"The dashboard improves recall, but the evidence is limited.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=[]; negative=[]
short_label_prompt,The model is useful in simple demos but unreliable in deployment.,mixed_risk,negative,neutral,False,neutral tie/bias; positive=['useful']; negative=['unreliable']
short_label_prompt,The agent is useful in simple demos but unreliable in deployment.,mixed_risk,negative,neutral,False,neutral tie/bias; positive=['useful']; negative=['unreliable']
short_label_prompt,The detector is useful in simple demos but unreliable in deployment.,mixed_risk,negative,neutral,False,neutral tie/bias; positive=['useful']; negative=['unreliable']
short_label_prompt,The retriever is useful in simple demos but unreliable in deployment.,mixed_risk,negative,neutral,False,neutral tie/bias; positive=['useful']; negative=['unreliable']
short_label_prompt,The pipeline is useful in simple demos but unreliable in deployment.,mixed_risk,negative,neutral,False,neutral tie/bias; positive=['useful']; negative=['unreliable']
short_label_prompt,The dashboard is useful in simple demos but unreliable in deployment.,mixed_risk,negative,neutral,False,neutral tie/bias; positive=['useful']; negative=['unreliable']
short_label_prompt,"The model gives clear explanations, but some claims are unsupported.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=['clear']; negative=['unsupported']
short_label_prompt,"The agent gives clear explanations, but some claims are unsupported.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=['clear']; negative=['unsupported']
short_label_prompt,"The detector gives clear explanations, but some claims are unsupported.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=['clear']; negative=['unsupported']
short_label_prompt,"The retriever gives clear explanations, but some claims are unsupported.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=['clear']; negative=['unsupported']
short_label_prompt,"The pipeline gives clear explanations, but some claims are unsupported.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=['clear']; negative=['unsupported']
short_label_prompt,"The dashboard gives clear explanations, but some claims are unsupported.",mixed_risk,negative,neutral,False,neutral tie/bias; positive=['clear']; negative=['unsupported']
clinical_cautious_prompt,"The model is fast, stable, and useful for edge deployment.",positive_clear,positive,neutral,False,neutral tie/bias; positive=['stable']; negative=[]
